Hours,ADX,MACD,Signal Line,Histogram,%K,%D,Open,High,Low,Close,Output
2568,37.9089483899,18.6032969828,15.4707684318,3.13252855101,96.8978483393,80.8052006467,3659.87,3695.0,3659.0,3692.03,1.0
2569,40.2078658875,21.3246918131,16.641553108,4.68313870505,74.537838084,82.5054818108,3692.0,3735.0,3685.85,3707.04,1.0
2570,42.3425749925,23.5975260327,18.0327476929,5.56477833972,77.3039215686,81.5100965318,3707.8,3716.14,3695.56,3711.85,1.0
2571,44.2781602375,24.1727947115,19.2607570966,4.91203761481,61.9478678155,80.782332971,3711.9,3713.18,3695.05,3700.11,-1.0
2572,46.0754893935,24.5474605457,20.3180977865,4.22936275926,63.9790925267,78.796701083,3700.07,3706.87,3697.05,3702.61,1.0
2573,46.59237706,24.0634812359,21.0671744763,2.99630675952,57.0395907473,77.6729914106,3702.57,3703.96,3685.0,3696.37,-1.0
2574,47.0723441789,23.3039705944,21.5145337,1.78943689444,55.5604982206,75.2820575863,3695.59,3696.24,3689.57,3695.04,-1.0
2575,47.7764808452,23.2705765523,21.8657422704,1.40483428186,67.0929715302,73.6208332357,3695.09,3705.41,3695.09,3705.41,1.0
2576,48.5011726899,22.3889079831,21.9703754129,0.418532570125,58.8634341637,72.7896492277,3705.45,3708.0,3697.02,3698.01,-1.0
2577,47.359452495,19.8986102951,21.5560223894,-1.65741209424,37.3331850534,71.0703481837,3698.03,3701.82,3677.0,3678.65,-1.0
2578,46.4976618083,19.6648031574,21.177778543,-1.51297538562,64.4350533808,67.9878378612,3678.69,3706.78,3678.1,3703.02,1.0
2579,47.4636891882,24.0893154778,21.7600859299,2.32922954787,90.3738752715,67.5987161113,3703.02,3776.0,3702.1,3763.59,1.0
2580,48.6505546683,27.5628870625,22.9206461565,4.64224090602,79.6674445741,69.0468816648,3762.7,3795.0,3759.3,3767.12,1.0
2581,49.7526440428,30.0938860298,24.3552941311,5.73859189868,80.6397058824,68.8982857336,3768.35,3785.0,3763.5,3768.67,1.0
2582,50.9046573714,33.037387944,26.0917128937,6.94567505033,91.5338983051,68.976594797,3770.71,3793.52,3767.8,3785.01,1.0
2583,52.0532946895,35.290132886,27.9313968922,7.35873599385,92.0032840722,68.5934555088,3785.02,3798.8,3777.0,3789.06,1.0
2584,52.6652738041,35.4475811125,29.4346337362,6.01294737628,79.5977011494,69.8409873652,3789.02,3789.96,3771.0,3773.95,-1.0
2585,53.2335401248,35.4477746676,30.6372619225,4.8105127451,82.4876847291,70.0048287638,3773.95,3782.88,3772.1,3777.47,1.0
2586,53.784235423,35.3096040949,31.571730357,3.73787373792,85.2216748768,71.4719585433,3777.48,3784.0,3772.1,3780.8,1.0
2587,53.4491926586,34.0690476166,32.0711938089,1.99785380772,77.7093596059,72.989285854,3780.1,3783.84,3762.0,3771.65,-1.0
2588,52.6270979568,32.2270270412,32.1023604554,0.124666585793,72.750410509,74.4656979154,3771.66,3772.16,3755.58,3765.61,-1.0
2589,51.9564026722,30.9279279915,31.8674739626,-0.939545971069,78.013136289,75.6935487931,3765.02,3775.0,3762.0,3772.02,1.0
2590,51.3851743887,29.3949252832,31.3729642267,-1.9780389435,76.3382594417,76.4735605616,3772.02,3776.52,3766.96,3769.98,-1.0
2591,51.4261127201,28.7299809929,30.84436758,-2.11438658709,85.1698425849,77.7217623672,3769.17,3795.0,3763.01,3780.9,1.0
